Catalog ID,Description,Sex
HG00096,"1000 GENOMES PROJECT - BRITISH FROM ENGLAND AND SCOTLAND, UK",male
HG00097,"1000 GENOMES PROJECT - BRITISH FROM ENGLAND AND SCOTLAND, UK",female
HG00099,"1000 GENOMES PROJECT - BRITISH FROM ENGLAND AND SCOTLAND, UK",female
HG00100,"1000 GENOMES PROJECT - BRITISH FROM ENGLAND AND SCOTLAND, UK",female
HG00101,"1000 GENOMES PROJECT - BRITISH FROM ENGLAND AND SCOTLAND, UK",male
HG00102,"1000 GENOMES PROJECT - BRITISH FROM ENGLAND AND SCOTLAND, UK",female
HG00103,"1000 GENOMES PROJECT - BRITISH FROM ENGLAND AND SCOTLAND, UK",male
HG00105,"1000 GENOMES PROJECT - BRITISH FROM ENGLAND AND SCOTLAND, UK",male
HG00106,"1000 GENOMES PROJECT - BRITISH FROM ENGLAND AND SCOTLAND, UK",female
HG00107,"1000 GENOMES PROJECT - BRITISH FROM ENGLAND AND SCOTLAND, UK",male
HG00108,"1000 GENOMES PROJECT - BRITISH FROM ENGLAND AND SCOTLAND, UK",male
HG00109,"1000 GENOMES PROJECT - BRITISH FROM ENGLAND AND SCOTLAND, UK",male
HG00110,"1000 GENOMES PROJECT - BRITISH FROM ENGLAND AND SCOTLAND, UK",female
HG00111,"1000 GENOMES PROJECT - BRITISH FROM ENGLAND AND SCOTLAND, UK",female
HG00112,"1000 GENOMES PROJECT - BRITISH FROM ENGLAND AND SCOTLAND, UK",male
HG00113,"1000 GENOMES PROJECT - BRITISH FROM ENGLAND AND SCOTLAND, UK",male
HG00114,"1000 GENOMES PROJECT - BRITISH FROM ENGLAND AND SCOTLAND, UK",male
HG00115,"1000 GENOMES PROJECT - BRITISH FROM ENGLAND AND SCOTLAND, UK",male
HG00116,"1000 GENOMES PROJECT - BRITISH FROM ENGLAND AND SCOTLAND, UK",male
HG00117,"1000 GENOMES PROJECT - BRITISH FROM ENGLAND AND SCOTLAND, UK",male
HG00118,"1000 GENOMES PROJECT - BRITISH FROM ENGLAND AND SCOTLAND, UK",female
HG00119,"1000 GENOMES PROJECT - BRITISH FROM ENGLAND AND SCOTLAND, UK",male
HG00120,"1000 GENOMES PROJECT - BRITISH FROM ENGLAND AND SCOTLAND, UK",female
HG00121,"1000 GENOMES PROJECT - BRITISH FROM ENGLAND AND SCOTLAND, UK",female
HG00122,"1000 GENOMES PROJECT - BRITISH FROM ENGLAND AND SCOTLAND, UK",female
HG00123,"1000 GENOMES PROJECT - BRITISH FROM ENGLAND AND SCOTLAND, UK",female
HG00125,"1000 GENOMES PROJECT - BRITISH FROM ENGLAND AND SCOTLAND, UK",female
HG00126,"1000 GENOMES PROJECT - BRITISH FROM ENGLAND AND SCOTLAND, UK",male
HG00127,"1000 GENOMES PROJECT - BRITISH FROM ENGLAND AND SCOTLAND, UK",female
HG00128,"1000 GENOMES PROJECT - BRITISH FROM ENGLAND AND SCOTLAND, UK",female
HG00129,"1000 GENOMES PROJECT - BRITISH FROM ENGLAND AND SCOTLAND, UK",male
HG00130,"1000 GENOMES PROJECT - BRITISH FROM ENGLAND AND SCOTLAND, UK",female
HG00131,"1000 GENOMES PROJECT - BRITISH FROM ENGLAND AND SCOTLAND, UK",male
HG00132,"1000 GENOMES PROJECT - BRITISH FROM ENGLAND AND SCOTLAND, UK",female
HG00133,"1000 GENOMES PROJECT - BRITISH FROM ENGLAND AND SCOTLAND, UK",female
HG00136,"1000 GENOMES PROJECT - BRITISH FROM ENGLAND AND SCOTLAND, UK",male
HG00137,"1000 GENOMES PROJECT - BRITISH FROM ENGLAND AND SCOTLAND, UK",female
HG00138,"1000 GENOMES PROJECT - BRITISH FROM ENGLAND AND SCOTLAND, UK",male
HG00139,"1000 GENOMES PROJECT - BRITISH FROM ENGLAND AND SCOTLAND, UK",male
HG00140,"1000 GENOMES PROJECT - BRITISH FROM ENGLAND AND SCOTLAND, UK",male
HG00141,"1000 GENOMES PROJECT - BRITISH FROM ENGLAND AND SCOTLAND, UK",male
