cell	donor_id	prob_max	prob_doublet	n_vars	best_singlet	best_doublet	doublet_logLikRatio
ABCC	donor1	1.00e+00	0.00e+00	13	donor1	donor0,donor1	0.000
ACDC	donor1	1.00e+00	0.00e+00	1024	donor1	donor0,donor1	0.000
ACUM	donor1	1.00e+00	0.00e+00	1404	donor1	donor0,donor1	0.000
AGMQ	donor1	1.00e+00	0.00e+00	477	donor1	donor0,donor1	0.000
AJPZ	donor1	1.00e+00	0.00e+00	1346	donor1	donor0,donor1	0.000
AJRJ	unassigned	5.00e-01	0.00e+00	1	donor0	donor0,donor1	0.000
AJTR	donor0	1.00e+00	0.00e+00	1026	donor0	donor0,donor1	0.000
AMCP	unassigned	1.00e+00	0.00e+00	4	donor1	donor0,donor1	0.000
AMVR	unassigned	1.00e+00	0.00e+00	5	donor1	donor0,donor1	0.000
APYM	donor1	1.00e+00	0.00e+00	1186	donor1	donor0,donor1	0.000
APZJ	donor1	1.00e+00	0.00e+00	236	donor1	donor0,donor1	0.000
ATWJ	donor1	1.00e+00	0.00e+00	869	donor1	donor0,donor1	0.000
AVEV	donor0	1.00e+00	0.00e+00	622	donor0	donor0,donor1	0.000
AVYO	unassigned	1.00e+00	0.00e+00	6	donor0	donor0,donor1	0.000
AWSB	donor1	1.00e+00	0.00e+00	532	donor1	donor0,donor1	0.000
AYSD	donor1	1.00e+00	0.00e+00	476	donor1	donor0,donor1	0.000
AZDE	donor1	1.00e+00	0.00e+00	664	donor1	donor0,donor1	0.000
BBFL	donor1	1.00e+00	0.00e+00	1282	donor1	donor0,donor1	0.000
BDPZ	donor1	1.00e+00	0.00e+00	1014	donor1	donor0,donor1	0.000
BFRK	donor1	1.00e+00	0.00e+00	137	donor1	donor0,donor1	0.000
BHAO	donor1	1.00e+00	0.00e+00	665	donor1	donor0,donor1	0.000
BJAZ	donor1	1.00e+00	0.00e+00	1013	donor1	donor0,donor1	0.000
BJBY	donor0	1.00e+00	0.00e+00	582	donor0	donor0,donor1	0.000
BKGB	donor1	1.00e+00	0.00e+00	723	donor1	donor0,donor1	0.000
BKXI	unassigned	9.95e-01	0.00e+00	2	donor1	donor0,donor1	0.000
BQGZ	donor1	1.00e+00	0.00e+00	436	donor1	donor0,donor1	0.000
BWUT	donor1	1.00e+00	0.00e+00	1091	donor1	donor0,donor1	0.000
BYRE	donor1	1.00e+00	0.00e+00	1042	donor1	donor0,donor1	0.000
CAAU	donor1	1.00e+00	0.00e+00	665	donor1	donor0,donor1	0.000
CAOX	donor1	1.00e+00	0.00e+00	1615	donor1	donor0,donor1	0.000
CCHR	donor1	1.00e+00	0.00e+00	211	donor1	donor0,donor1	0.000
CCOK	donor0	1.00e+00	0.00e+00	1401	donor0	donor0,donor1	0.000
CEMZ	donor1	1.00e+00	0.00e+00	1500	donor1	donor0,donor1	0.000
CFGG	donor1	1.00e+00	0.00e+00	879	donor1	donor0,donor1	0.000
CFXZ	donor0	1.00e+00	0.00e+00	508	donor0	donor0,donor1	0.000
CHXM	donor0	1.00e+00	0.00e+00	400	donor0	donor0,donor1	0.000
CMAC	donor0	1.00e+00	0.00e+00	380	donor0	donor0,donor1	0.000
CPKA	donor1	1.00e+00	0.00e+00	554	donor1	donor0,donor1	0.000
CTZP	donor1	1.00e+00	0.00e+00	12	donor1	donor0,donor1	0.000
CUVL	donor0	1.00e+00	0.00e+00	251	donor0	donor0,donor1	0.000
CZZU	unassigned	9.95e-01	0.00e+00	1	donor1	donor0,donor1	0.000
DAGJ	donor0	1.00e+00	0.00e+00	770	donor0	donor0,donor1	0.000
DBAE	donor0	1.00e+00	0.00e+00	1209	donor0	donor0,donor1	0.000
DBCZ	donor1	1.00e+00	0.00e+00	1310	donor1	donor0,donor1	0.000
DBUL	donor1	1.00e+00	0.00e+00	580	donor1	donor0,donor1	0.000
DFHK	donor1	1.00e+00	0.00e+00	890	donor1	donor0,donor1	0.000
DFND	donor0	1.00e+00	0.00e+00	216	donor0	donor0,donor1	0.000
DFRU	donor1	1.00e+00	0.00e+00	521	donor1	donor0,donor1	0.000
DIWB	donor1	1.00e+00	0.00e+00	1376	donor1	donor0,donor1	0.000
DKEN	donor1	1.00e+00	0.00e+00	336	donor1	donor0,donor1	0.000
DLPY	donor1	1.00e+00	0.00e+00	570	donor1	donor0,donor1	0.000
DVUO	donor1	1.00e+00	0.00e+00	162	donor1	donor0,donor1	0.000
DYTY	donor1	1.00e+00	0.00e+00	1163	donor1	donor0,donor1	0.000
EAYL	donor1	1.00e+00	0.00e+00	532	donor1	donor0,donor1	0.000
EKZR	donor1	1.00e+00	0.00e+00	783	donor1	donor0,donor1	0.000
ELUF	donor0	1.00e+00	0.00e+00	456	donor0	donor0,donor1	0.000
EMQM	unassigned	5.00e-01	0.00e+00	1	donor0	donor0,donor1	0.000
ENFI	donor1	1.00e+00	0.00e+00	1063	donor1	donor0,donor1	0.000
ERIC	unassigned	5.00e-01	0.00e+00	2	donor1	donor0,donor1	0.000
ESGU	donor1	1.00e+00	0.00e+00	942	donor1	donor0,donor1	0.000
ESLM	donor1	1.00e+00	0.00e+00	863	donor1	donor0,donor1	0.000
EVIX	donor1	1.00e+00	0.00e+00	1473	donor1	donor0,donor1	0.000
EZZM	donor1	1.00e+00	0.00e+00	128	donor1	donor0,donor1	0.000
FDHJ	donor1	1.00e+00	0.00e+00	113	donor1	donor0,donor1	0.000
FGBB	donor1	1.00e+00	0.00e+00	907	donor1	donor0,donor1	0.000
FISX	donor1	1.00e+00	0.00e+00	651	donor1	donor0,donor1	0.000
FKQG	donor1	1.00e+00	0.00e+00	1017	donor1	donor0,donor1	0.000
FKRC	donor0	1.00e+00	0.00e+00	10	donor0	donor0,donor1	0.000
FRLL	donor0	1.00e+00	0.00e+00	1082	donor0	donor0,donor1	0.000
FUMS	donor1	1.00e+00	0.00e+00	693	donor1	donor0,donor1	0.000
FVBM	donor0	1.00e+00	0.00e+00	1235	donor0	donor0,donor1	0.000
FXTT	unassigned	9.89e-01	0.00e+00	5	donor0	donor0,donor1	0.000
