XC,n,cellindex
XMLY,18028399,1
APYM,14523755,2
RZTR,11867727,3
CEMZ,10957284,4
XGEX,8538771,5
OLIS,8431354,6
XNYC,8288541,7
YLWP,7947533,8
RKJR,7907018,9
QZER,7456752,10
STPL,7447379,11
UJRB,6937773,12
SACJ,6906348,13
EVIX,6903534,14
DIWB,6844931,15
UJRF,6491549,16
SOYU,6447101,17
FRLL,6440421,18
OADE,6430462,19
DYTY,6428143,20
CCOK,6354593,21
RUIQ,6321445,22
BBFL,6266087,23
AJPZ,6210198,24
WSUD,6199408,25
PKLH,6162940,26
MEMO,6097910,27
ZTBQ,5742438,28
RBYP,5698140,29
GCYF,5693080,30
HIFA,5690877,31
TVDP,5597549,32
TAFE,5531613,33
FZQN,5478699,34
AJTR,5394695,35
INPX,5258942,36
VXJQ,5184555,37
UPPO,5157749,38
YFDH,5154321,39
DFHK,4979308,40
FVBM,4955807,41
ATWJ,4936817,42
EKZR,4912504,43
IQBT,4892567,44
BWUT,4874873,45
QIAL,4772084,46
IVWF,4410634,47
BJAZ,4242714,48
IBQV,4172549,49
ACUM,4059930,50
DAGJ,4058945,51
MJAI,4034794,52
ACDC,4010308,53
FISX,3915612,54
OCBB,3913033,55
RHTC,3866019,56
GTUE,3833171,57
PHNE,3828230,58
GEQN,3759197,59
DBUL,3671309,60
ZAJL,3628345,61
HUDW,3476677,62
UXVF,3461742,63
FKQG,3457578,64
RXGP,3397068,65
GTXG,3385171,66
MEPY,3351241,67
NEMA,3314145,68
QXOE,3309885,69
VLRE,3280329,70
UPJW,3240045,71
KOBE,3203320,72
DBAE,3172031,73
RKFX,3130966,74
XUYW,3099985,75
XTJM,3076244,76
LCSZ,3068512,77
NULW,3042968,78
POOJ,3034101,79
OSKR,2994714,80
CAOX,2980633,81
HJLK,2950057,82
CFGG,2922558,83
KFKV,2910536,84
YHQB,2861227,85
VAVM,2859348,86
GHWR,2858375,87
XSUM,2778541,88
FUMS,2774192,89
MZVE,2773086,90
ENFI,2768028,91
QJUS,2720024,92
CHXM,2690523,93
DLPY,2650557,94
WUWV,2645157,95
BDPZ,2644211,96
XVSW,2640658,97
ESGU,2636577,98
SZUT,2623051,99
LJYG,2622195,100
GHMZ,2602727,101
KIIV,2578572,102
SHWL,2576662,103
GEWQ,2563900,104
BKGB,2560979,105
XYIT,2547024,106
ZGXL,2507763,107
RJCV,2448994,108
SKWZ,2439887,109
FGBB,2423903,110
WHYL,2418237,111
SIRU,2412739,112
LRSI,2398579,113
HVJW,2393100,114
GQTC,2381407,115
QUJQ,2375933,116
YYAZ,2331479,117
STHI,2325712,118
ITFK,2325092,119
LWIU,2323322,120
MNFQ,2321275,121
INGT,2318970,122
IQFT,2294013,123
AZDE,2269102,124
ESLM,2225480,125
DFND,2208016,126
KZET,2206497,127
CAAU,2188481,128
SPFW,2186243,129
XNMJ,2161722,130
LEYR,2130950,131
WTTF,2127680,132
KNWS,2111506,133
VUSP,2100918,134
KIKW,2094209,135
GQTA,2091785,136
NYZI,2068886,137
DBCZ,2068666,138
SBQR,2056310,139
CUVL,2039549,140
LMXO,2034539,141
HYUH,2012498,142
DFRU,2010692,143
TWKS,1976833,144
JQIW,1973077,145
MZVM,1972480,146
HNHQ,1968127,147
BHAO,1967549,148
VDUD,1961331,149
SQMH,1950362,150
WYJB,1943081,151
PHAE,1938231,152
LOTN,1932303,153
AGMQ,1913944,154
WJUP,1870480,155
WBBG,1860771,156
HYQR,1849882,157
AWSB,1839668,158
CPKA,1837017,159
BQGZ,1833850,160
ZMCW,1829560,161
QGTT,1826895,162
RNEI,1826845,163
JLLS,1821797,164
LCQT,1792711,165
GPBY,1791407,166
OVKN,1764070,167
LXVY,1756240,168
MCXF,1732135,169
SILY,1705015,170
KVTK,1691061,171
IWPL,1683594,172
MWBO,1682287,173
AVEV,1678009,174
IURJ,1651866,175
EAYL,1621058,176
LMYX,1611436,177
QDLS,1599440,178
ELUF,1580683,179
STXU,1567386,180
WTEK,1519050,181
MBVV,1517525,182
UZTN,1503567,183
THDV,1490345,184
VAIH,1457714,185
WQGX,1449951,186
HGIU,1441109,187
TBMD,1434325,188
GMVK,1429687,189
TDQK,1400947,190
OHFJ,1397656,191
AYSD,1378531,192
WYIU,1377829,193
ZOCN,1370634,194
MNGG,1324241,195
KXBC,1317924,196
CMAC,1307421,197
GHQX,1304328,198
BYRE,1297120,199
UDYK,1243706,200
RQUF,1239371,201
QKPD,1232088,202
ZRGG,1220362,203
TVTF,1196554,204
XZIS,1189502,205
BJBY,1181035,206
CCHR,1165414,207
WRIQ,1156494,208
JJYZ,1141594,209
LLID,1100337,210
CFXZ,1058451,211
SOAI,901336,212
VKZW,878253,213
DVUO,876355,214
VGNR,858304,215
XIYR,822392,216
YWEA,810169,217
IWNZ,807048,218
KXGH,731440,219
XGOD,707746,220
DKEN,681076,221
BFRK,665479,222
SLEF,646376,223
QVHA,633745,224
KKHI,615972,225
URPV,612205,226
AMVR,609096,227
OOTK,604789,228
PNBA,589815,229
FDHJ,576282,230
NICP,553133,231
ABCC,552395,232
APZJ,521407,233
IFIX,517742,234
RGEN,493542,235
TQFR,467004,236
PVCO,455418,237
RJZM,421773,238
NWVZ,407963,239
FXTT,404304,240
PHFV,367297,241
KKRW,325142,242
OCLN,319174,243
MFWM,310025,244
EZZM,305338,245
MLPL,296178,246
JOWI,295422,247
UVEI,292661,248
ERIC,289611,249
GRYL,289294,250
QEJT,289292,251
YBLD,282638,252
FKRC,271294,253
LKZE,266548,254
VSZU,264460,255
WRDH,253426,256
TORE,244020,257
CTZP,221045,258
YGDM,213258,259
BKXI,205823,260
XAYJ,196278,261
OMQW,189286,262
XALQ,168330,263
AVYO,166136,264
AJRJ,165905,265
CZZU,138212,266
NSRN,136375,267
QSRQ,131987,268
MLFH,126075,269
AMCP,120674,270
IADM,117336,271
ZVVL,103092,272
QTLC,93279,273
PNRL,91367,274
SPNG,82576,275
EMQM,76258,276
HIAY,73232,277
UAWG,72229,278
ZEAR,69521,279
TRLV,69362,280
ZXRY,63242,281
MEOZ,48095,282
VATS,44977,283
TEYN,39096,284
KZBH,32108,285
YYRV,29520,286
YEME,14121,287
